ocid,id,tender.id,tender.procurementMethodDetails,tender.title,tender.procurementMethod,tender.status,tender.submissionMethodDetails,tender.bidDate,tender.openingDate,tender.procuringEntity.id,tender.procuringEntity.name,tender.tenderPeriod.endDate,tender.tenderPeriod.startDate,tender.description,buyer.id,buyer.name,tag,initiationType,date,tender.submissionMethod,tender.enquiryPeriod.endDate,parties,año
ocds-yfs5dr-503985,llamado-503985,503985,Compra Directa,Compra Directa 1149/2015,open,active,Fecha de solicitud de prorroga: 2015-11-26T00:00:00Z;Fecha y hora de apertura: 2015-12-07T14:00:00Z;Lugar de entrega: COMPRAS CHPR;Lugar de la apertura: HOSPITAL CARDONA;Fecha y hora del inicio de una puja: 2015-11-16T12:30:00Z, 2015-11-16T12:30:00Z, 2015-12-07T14:00:00Z,29-4,Centro Hospitalario  Pereira Rossell,2015-12-09T14:30:00Z,2015-12-07T14:30:00Z,SET DE SACA LECHE,29-4,Centro Hospitalario  Pereira Rossell,compiled,tender,2015-12-07T14:30:00Z,NA,NA,NA,2015
ocds-yfs5dr-491445,adjudicacion-491445,491445,Compra Directa,Compra Directa 22/2015,open,NA,Fecha de solicitud de prorroga: 2015-10-14T00:00:00Z;Fecha y hora de apertura: 2015-10-21T15:00:00Z;Lugar de entrega: Of. de Lic. y Compras;Lugar de la apertura: Sala de Sesiones,NA, 2015-10-21T15:00:00Z,3-34,Dirección General de los Servicios,2015-09-22T11:00:00Z,2015-09-15T12:15:00Z,"Adquisición de Pan y Leche, para proveer dependencias en localidad de Los Cerrillos (Canelones), según archivo adjunto.",3-34,Dirección General de los Servicios,compiled,tender,2015-09-30T12:25:00Z,NA,NA,NA,2015
ocds-yfs5dr-i218836,adjudicacion-i218836,i218836,Compra Directa,Compra Directa 303528/2015,open,NA,Fecha de solicitud de prorroga: 2015-08-12T00:00:00Z;Fecha y hora de apertura: 2015-08-27T12:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SALA APERTURAS - DIVISIÓN RECURSOS MATERIALES Y SERVICIOS,NA, 2015-08-27T12:00:00Z,98-1,Intendencia de Montevideo,2015-07-14T18:00:00Z,2015-07-09T22:40:00Z,"RACION PARA VACA LECHERA, RACION",98-1,Intendencia de Montevideo,compiled,tender,2015-07-20T22:40:00Z,NA,NA,NA,2015
ocds-yfs5dr-485086,llamado-485086,485086,Compra por Excepción,Compra por Excepción 4/2015,direct,active,Fecha de solicitud de prorroga: 2015-08-05T00:00:00Z;Fecha y hora de apertura: 2015-08-12T12:00:00Z;Lugar de entrega: CENTRO DPTAL DE CANELONES//ASSE;Lugar de la apertura: SAN MARTIN 3235,NA, 2015-08-12T12:00:00Z,25-4,Consejo de Educación Técnico-Profesional,2015-08-12T12:00:00Z,2015-07-31T15:55:00Z,"Suministro y colocación de aulas prefabricadas en localidad de Reboledo, Florida y en Colonia Suiza escuela Superior de Lecheria, Departamento de Colonia",25-4,Consejo de Educación Técnico-Profesional,compiled,tender,2015-07-31T15:55:00Z,electronicSubmission,NA,NA,2015
ocds-yfs5dr-406821,adjudicacion-406821,406821,Licitación Pública,Licitación Pública 2/2014,open,NA,Fecha de solicitud de prorroga: 2015-08-12T00:00:00Z;Fecha y hora de apertura: 2015-08-27T12:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SALA APERTURAS - DIVISIÓN RECURSOS MATERIALES Y SERVICIOS,NA, 2015-08-27T12:00:00Z,31-1,Universidad Tecnológica del Uruguay,NA,NA,"Licitación Pública  Nº 2/2014
Adquisición de Equipamiento de Laboratorio, para equipar laboratorios de la Licenciatura en Leche y Productos Lácteos y la Licenciatura en Análisis Alimentario de la UTEC en Colonia y Paysandú.
",31-1,Universidad Tecnológica del Uruguay,compiled,tender,2015-07-24T16:55:00Z,electronicSubmission,NA,NA,2015
ocds-yfs5dr-493818,llamado-493818,493818,Compra Directa,Compra Directa 168/2015,open,active,Fecha de solicitud de prorroga: 2015-10-06T00:00:00Z;Fecha y hora de apertura: 2015-10-14T10:00:00Z;Lugar de entrega: HOSPITAL REGIONAL SALTO;Lugar de la apertura: Of. de Compras de Hospital Carmelo,NA, 2015-10-14T10:00:00Z,29-28,Centro Departamental de Salto,2015-10-05T11:30:00Z,2015-10-01T11:15:00Z,AUTOCLAVE PARA BANCO DE LECHE,29-28,Centro Departamental de Salto,compiled,tender,2015-10-01T11:15:00Z,NA,NA,NA,2015
ocds-yfs5dr-455995,adjudicacion-455995,455995,Compra Directa,Compra Directa 870/2015,open,NA,Fecha de solicitud de prorroga: 2015-01-12T00:00:00Z;Fecha y hora de apertura: 2015-01-14T14:30:00Z;Lugar de entrega: AV LUIS ALBERTO DE HERRERA N?: 4553  ;Lugar de la apertura: Ituzaingo 1474 1º piso; Sección Adquisiciones.,NA, 2015-01-14T14:30:00Z,5-2,Contaduría General de la Nación,NA,NA,"leche, art. limpieza, limon. pilas",5-2,Contaduría General de la Nación,compiled,tender,2015-01-05T10:00:00Z,NA,NA,NA,2015
ocds-yfs5dr-490509,adjudicacion-490509,490509,Compra Directa,Compra Directa 137/2015,open,NA,Fecha de solicitud de prorroga: 2015-09-14T00:00:00Z;Fecha y hora de apertura: 2015-09-21T12:00:00Z;Lugar de entrega: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE,NA, 2015-09-21T12:00:00Z,29-34,Centro Auxiliar de Bella Unión,2015-09-11T10:30:00Z,2015-09-09T09:35:00Z,SACALECHE MANUAL CON RESERVORIO,29-34,Centro Auxiliar de Bella Unión,compiled,tender,2015-09-15T10:45:00Z,NA,NA,NA,2015
ocds-yfs5dr-a218104,llamado-a218104,a218104,Licitación Pública,Licitación Pública 17/2015,open,active,Fecha de solicitud de prorroga: 2015-07-06T00:00:00Z;Fecha y hora de apertura: 2015-07-07T14:00:00Z;Lugar de entrega: Av. Libertador 1409; piso 6;Lugar de la apertura: Av. Libertador 1409; piso 6,NA, 2015-07-07T14:00:00Z,NA,NA,2015-07-07T14:00:00Z,2015-06-17T15:51:00Z,Compra de Leche en Polvo Fortificada con Hierro a Comercios Solidarios adheridos al Sistema de Tarjeta Uruguay Social del Plan de Equidad,NA,NA,compiled,tender,2015-06-17T15:51:00Z,NA,2015-07-06T00:00:00Z,NA,2015
ocds-yfs5dr-475144,adjudicacion-475144,475144,Compra Directa,Compra Directa 5407/2015,open,NA,"Fecha de solicitud de prorroga: 2015-05-25T00:00:00Z;Fecha y hora de apertura: 2015-06-09T11:00:00Z;Lugar de entrega: HAITI N?: 1600  ;Lugar de la apertura: MESA DE LICITACIONES PLANTA BAJA SECTOR ""B"" EDIFICIO COMUNAL; ACUÑA DE FIGUEROA Y BURNET",NA, 2015-06-09T11:00:00Z,2-1,Presidencia  de la República y Oficinas Dependientes,NA,NA,LECHE PASTEURIZADA,2-1,Presidencia  de la República y Oficinas Dependientes,compiled,tender,2015-05-29T11:40:00Z,NA,NA,NA,2015
ocds-yfs5dr-490140,adjudicacion-490140,490140,Compra Directa,Compra Directa 23187/2015,open,NA,Fecha de solicitud de prorroga: 2015-10-14T00:00:00Z;Fecha y hora de apertura: 2015-10-21T15:00:00Z;Lugar de entrega: Of. de Lic. y Compras;Lugar de la apertura: Sala de Sesiones,NA, 2015-10-21T15:00:00Z,83-1,Intendencia de Colonia,2015-09-08T14:30:00Z,2015-09-07T13:15:00Z,"""BOLSAS DE 25 KG. DE LECHE EN POLVO ENTERA""",83-1,Intendencia de Colonia,compiled,tender,2015-09-28T16:40:00Z,NA,NA,NA,2015
ocds-yfs5dr-488588,llamado-488588,488588,Compra Directa,Compra Directa 731/2015,open,active,Fecha de solicitud de prorroga: 2015-09-03T00:00:00Z;Fecha y hora de apertura: 2015-09-08T11:00:00Z;Lugar de entrega: OF. COMPRAS;Lugar de la apertura: 18 de julio 1453 PB Dpto Adquisiciones,NA, 2015-09-08T11:00:00Z,29-6,Hospital Pasteur,2015-08-31T11:00:00Z,2015-08-27T14:55:00Z,"SE SOLICITA COTIZAR PRECIO UNITARIO CON DISCRIMINACIÓN DE IMPUESTOS , FORMA DE PAGO SIIF SERA DE UNA JARRA ELÉCTRICA Y 3 JARRAS TÉRMICAS DE ACERO INOXIDABLE DE 3 LITROS DE CAPACIDAD PARA DISPENSAR CAFÉ Y LECHE",29-6,Hospital Pasteur,compiled,tender,2015-08-27T14:55:00Z,NA,NA,NA,2015
ocds-yfs5dr-471847,adjudicacion-471847,471847,Compra Directa,Compra Directa 1506/2015,open,NA,Fecha de solicitud de prorroga: 2015-04-30T00:00:00Z;Fecha y hora de apertura: 2015-05-11T10:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: M.I. Sala de Licitaciones. Mercedes 993,NA, 2015-05-11T10:00:00Z,7-1,Dirección General de Secretaría,NA,NA,Suscripción anual - Federación Panamericana de Lechería (FEPALE),7-1,Dirección General de Secretaría,compiled,tender,2015-04-30T13:50:00Z,NA,NA,NA,2015
ocds-yfs5dr-i218531,adjudicacion-i218531,i218531,Licitación Abreviada,Licitación Abreviada 302932/2015,open,NA,Fecha de solicitud de prorroga: 2015-09-30T00:00:00Z;Fecha y hora de apertura: 2015-10-02T11:30:00Z;Lugar de entrega: Rincón 723; oficina 103. Departamento de Adquisiciones y Proveeduría;Lugar de la apertura: Rincón 723; oficina 103. Departamento de Adquisiciones y Proveeduría,NA, 2015-10-02T11:30:00Z,98-1,Intendencia de Montevideo,10/07/2015 10:15,2015-06-29T22:40:00Z,"ADQUISICIÓN DE LECHE EN POLVO (USO HUMANO)  PARA DONACION A MERENDEROS, GUARDERIAS E INSTITUCIONES DE LA INTENDENCIA DE MONTEVIDEO;",98-1,Intendencia de Montevideo,compiled,tender,2015-09-25T12:37:00Z,NA,2015-07-06T00:00:00Z,NA,2015
ocds-yfs5dr-489903,adjudicacion-489903,489903,Compra Directa,Compra Directa 570/2015,open,NA,Fecha de solicitud de prorroga: 2015-08-31T00:00:00Z;Fecha y hora de apertura: 2015-09-15T11:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - 2º SUBSUELO - ALA SUR - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: Avda Libertador 1409 piso 5- Sala de Capacitación,NA, 2015-09-15T11:00:00Z,5-2,Contaduría General de la Nación,NA,NA,LECHE FRESCA Y SERVILLETA DE PAPEL,5-2,Contaduría General de la Nación,compiled,tender,2015-09-04T13:30:00Z,NA,NA,NA,2015
ocds-yfs5dr-481637,adjudicacion-481637,481637,Compra Directa,Compra Directa 465/2015,open,NA,Fecha de solicitud de prorroga: 2015-07-15T00:00:00Z;Fecha y hora de apertura: 2015-07-23T15:00:00Z;Lugar de entrega: SAN MARTIN 3235;Lugar de la apertura: SAN MARTIN 3235,NA, 2015-07-23T15:00:00Z,4-1,Secretaría del Ministerio del Interior,2015-07-13T11:11:00Z,2015-07-09T11:15:00Z,"200 litros de leche larga vida, 15 cajas de 700 sobres de edulcorante, 2.000 removedores de cafe, 2 cajas de 100 saquitos de te mixto, 2 cajas de 100 saquitos de te comun, 5 cjas de 1.000 sobrecitos de azucar, 3.000 vasos plasticos, 3.000 vasos termicos de 240ml
",4-1,Secretaría del Ministerio del Interior,compiled,tender,2015-07-14T11:25:00Z,NA,NA,NA,2015
ocds-yfs5dr-480964,adjudicacion-480964,480964,Compra Directa,Compra Directa 424/2015,open,NA,Fecha de solicitud de prorroga: 2015-07-21T00:00:00Z;Fecha y hora de apertura: 2015-07-24T11:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PISO 4 - SECTOR EJIDO ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE,NA, 2015-07-24T11:00:00Z,5-2,Contaduría General de la Nación,NA,NA,"LECHE, LIMON Y EDULCORANTE.",5-2,Contaduría General de la Nación,compiled,tender,2015-07-03T12:20:00Z,NA,NA,NA,2015
ocds-yfs5dr-500345,adjudicacion-500345,500345,Compra Directa,Compra Directa 73/2015,open,NA,Fecha de solicitud de prorroga: 2015-11-13T00:00:00Z;Fecha y hora de apertura: 2015-11-18T11:00:00Z;Lugar de entrega: CERRO LARGO 823;Lugar de la apertura: SALA DE APERTURAS :UTE Palacio de la Luz;Paraguay 2431 Planta Baja;Montevideo - Uruguay.;Fecha y hora del inicio de una puja: 2015-11-16T12:30:00Z, 2015-11-16T12:30:00Z, 2015-11-18T11:00:00Z,4-11,Jefatura de Policía de Florida,NA,NA,"Racion lechera, y cinta y acetato huellas",4-11,Jefatura de Policía de Florida,compiled,tender,2015-11-16T11:50:00Z,NA,NA,NA,2015
ocds-yfs5dr-503402,adjudicacion-503402,503402,Compra Directa,Compra Directa 779/2015,open,NA,Fecha de solicitud de prorroga: 2015-11-30T00:00:00Z;Fecha y hora de apertura: 2015-12-07T11:00:00Z;Lugar de entrega: PCIO. MUNICIPAL - PISO 3 - SECTOR EJIDO ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE;Fecha y hora del inicio de una puja: 2015-11-16T12:30:00Z, 2015-11-16T12:30:00Z, 2015-12-07T11:00:00Z,5-2,Contaduría General de la Nación,NA,NA,"LECHE, EDULCORANTE Y AZÚCAR",5-2,Contaduría General de la Nación,compiled,tender,2015-12-03T11:15:00Z,NA,NA,NA,2015
ocds-yfs5dr-476630,adjudicacion-476630,476630,Compra Directa,Compra Directa 564/2015,open,NA,Fecha de solicitud de prorroga: 2015-06-05T00:00:00Z;Fecha y hora de apertura: 2015-06-10T11:00:00Z;Lugar de entrega: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE,NA, 2015-06-10T11:00:00Z,11-1,Dirección General de Secretaría,2015-06-05T14:00:00Z,2015-06-03T17:05:00Z,"Insumos desayuno, merienda: 50 sobres café, 30 sobres de té, 1 kg. leche en polvo, 1 kg. azucar 1 kg. bizcochos surtidos, 1 kg. bizcochos dulces surtidos
Insumos almuerzo: 35 porciones tarta de fiambre, 35 porciones tarta de verdura, 35 manzanas
para el 13 /06/15 en Rocha
---------------
por consultas: 29150103 int. 1720 -- Centros MEC",11-1,Dirección General de Secretaría,compiled,tender,2015-06-09T17:00:00Z,NA,NA,NA,2015
ocds-yfs5dr-463866,adjudicacion-463866,463866,Compra Directa,Compra Directa 251/2015,open,NA,Fecha de solicitud de prorroga: 2015-03-12T00:00:00Z;Fecha y hora de apertura: 2015-03-17T14:10:00Z;Lugar de entrega: CNO CORRALES N?: 3280  ;Lugar de la apertura: OFICINA DE COMPRAS,NA, 2015-03-17T14:10:00Z,31-1,Universidad Tecnológica del Uruguay,NA,NA,Compra de equipos y materiales para la carrera de Tecnólogo en Manejo de Sistemas de Producción Lechera.,31-1,Universidad Tecnológica del Uruguay,compiled,tender,2015-03-04T16:10:00Z,NA,NA,NA,2015
ocds-yfs5dr-474820,adjudicacion-474820,474820,Compra Directa,Compra Directa 316/2015,open,NA,"Fecha de solicitud de prorroga: 2015-05-25T00:00:00Z;Fecha y hora de apertura: 2015-06-09T11:00:00Z;Lugar de entrega: HAITI N?: 1600  ;Lugar de la apertura: MESA DE LICITACIONES PLANTA BAJA SECTOR ""B"" EDIFICIO COMUNAL; ACUÑA DE FIGUEROA Y BURNET",NA, 2015-06-09T11:00:00Z,5-2,Contaduría General de la Nación,NA,NA,"DETERGENTE, EDULCORANTE ,LECHE",5-2,Contaduría General de la Nación,compiled,tender,2015-05-22T11:05:00Z,NA,NA,NA,2015
ocds-yfs5dr-472220,adjudicacion-472220,472220,Compra Directa,Compra Directa 103/2015,open,NA,Fecha de solicitud de prorroga: 2015-05-25T00:00:00Z;Fecha y hora de apertura: 2015-05-26T14:30:00Z;Lugar de entrega: CARLOS REYLES N?: 1620  ;Lugar de la apertura: Intendencia de Durazno; Herrera Nº 908,NA, 2015-05-26T14:30:00Z,29-16,Centro Departamental de Canelones,2015-05-08T14:00:00Z,2015-05-05T14:55:00Z,"Cateter  Suprapuvico  n 8// 12// 14
Fijador de cabello spray
Sonda sengstaken  doble balon 
Sacaleche ( set para colocar en sistema de aspiración).
",29-16,Centro Departamental de Canelones,compiled,tender,2015-05-12T10:55:00Z,NA,NA,NA,2015
ocds-yfs5dr-507913,adjudicacion-507913,507913,Compra Directa,Compra Directa 3/2016,open,NA,Fecha de solicitud de prorroga: 2015-12-16T00:00:00Z;Fecha y hora de apertura: 2016-01-12T12:00:00Z;Lugar de entrega: COMPRAS;Lugar de la apertura: SALA DE ACTOS DE RR.PP. 2do. Piso Of. 2.11 - EDIFICIO SEDE;Fecha y hora del inicio de una puja: 2015-12-17T11:40:00Z, 2015-12-17T11:40:00Z, 2016-01-12T12:00:00Z,4-13,Jefatura de Policía de Maldonado,NA,NA,"Leche, pan, mermelada, membrillo, cocoa y azúcar para cadetes de Verano Azul.",4-13,Jefatura de Policía de Maldonado,compiled,tender,2016-01-05T11:15:00Z,NA,NA,NA,2015
ocds-yfs5dr-492378,adjudicacion-492378,492378,Compra Directa,Compra Directa 288/2015,open,NA,Fecha de solicitud de prorroga: 2015-10-14T00:00:00Z;Fecha y hora de apertura: 2015-10-21T15:00:00Z;Lugar de entrega: Of. de Lic. y Compras;Lugar de la apertura: Sala de Sesiones,NA, 2015-10-21T15:00:00Z,15-1,Ex-Adm.Gral- Dir. General Secret.,2015-09-24T10:00:00Z,2015-09-21T16:10:00Z,"Adquisición de barras de cereal, jugo de naranja y leche chocolatada",15-1,Ex-Adm.Gral- Dir. General Secret.,compiled,tender,2015-09-28T16:35:00Z,NA,NA,NA,2015
ocds-yfs5dr-i221821,adjudicacion-i221821,i221821,Licitación Abreviada,Licitación Abreviada 306593/2015,open,NA,Fecha de solicitud de prorroga: 2015-12-23T00:00:00Z;Fecha y hora de apertura: 2015-12-23T12:00:00Z;Lugar de entrega: CARLOS REYLES N?: 1620  ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE;Fecha y hora del inicio de una puja: 2015-12-17T11:40:00Z, 2015-12-17T11:40:00Z, 2015-12-23T12:00:00Z,98-1,Intendencia de Montevideo,2015-11-03T14:00:00Z,2015-10-21T10:40:00Z,ADQUISICION DE RACION PARA VACA LECHERA,98-1,Intendencia de Montevideo,compiled,tender,2015-12-08T22:40:00Z,NA,2015-11-03T00:00:00Z,NA,2015
ocds-yfs5dr-471614,adjudicacion-471614,471614,Compra Directa,Compra Directa 280/2015,open,NA,Fecha de solicitud de prorroga: 2015-05-06T00:00:00Z;Fecha y hora de apertura: 2015-05-13T11:00:00Z;Lugar de entrega: SAN MARTIN 3235;Lugar de la apertura: SAN MARTIN 3235,NA, 2015-05-13T11:00:00Z,4-1,Secretaría del Ministerio del Interior,NA,NA,ADQUISICIÓN DE 75 LITROS DE LECHE LARGA VIDA ,4-1,Secretaría del Ministerio del Interior,compiled,tender,2015-05-04T13:35:00Z,NA,NA,NA,2015
ocds-yfs5dr-477008,adjudicacion-477008,477008,Compra Directa,Compra Directa 10004/2015,open,NA,Fecha de solicitud de prorroga: 2015-06-05T00:00:00Z;Fecha y hora de apertura: 2015-06-10T11:00:00Z;Lugar de entrega: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE ;Lugar de la apertura: SERVICIO DE COMPRAS / PCIO. MUNICIPAL - PLANTA BAJA - SECTOR SANTIAGO DE CHILE,NA, 2015-06-10T11:00:00Z,51-1,Banco de la República del Uruguay,NA,NA,Contratación de una edición del taller in-company ¿FAGRO ¿ BROU módulo: Producción lechera¿ organizado por la Facultad de Agronomía de la Universidad de la República. ,51-1,Banco de la República del Uruguay,compiled,tender,2015-06-05T14:05:00Z,NA,NA,NA,2015
