parties.memberOf.id.keyword: Descending,contracts.title: Descending,categoría,alias_contrato_importe: Descending,alias_contrato_moneda: Descending,PESOS,fecha,año,alias_proveedor: Descending,OCID,tender.procurementMethod: Descending,source.keyword: Descending,Count,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,235125152,MXN,235125152,31/12/2015,2015,CENTRO DE ACOPIO DE LAGOS DE MORENO,OCDS-0UD2Q6-CADQ/545/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,231615824,MXN,231615824,31/12/2015,2015,CENTRO DE ACOPIO DE ENCARNACION DE DIAZ,OCDS-0UD2Q6-CADQ/543/2016,direct,,1,
liconsa sa de cv,"ADQUISICIÓN DE 5,000 TM DE LECHE DESCREMADA EN POLVO NO INSTANTÁNEA SIN FORTIFICAR, CON EL PROVEEDOR CORPORACIÓN ALIMENTARIA PEÑASANTA, S.A.",Compra de leche,231544000,MXN,231544000,11/04/2017,2017,"CORPORACIÓN ALIMENTARIA PEÑASANTA, S.A.",OCDS-0UD2Q6-AA-020VST012-E16-2017,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1091676,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,225070000,MXN,225070000,03/01/2015,2015,CENTRO DE ACOPIO DE LAGOS DE MORENO,OCDS-0UD2Q6-CADQ/2620/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,223376528,MXN,223376528,31/12/2015,2015,CENTRO DE ACOPIO DE SAN JUAN DE LOS LAGOS,OCDS-0UD2Q6-CADQ/547/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,220000000,MXN,220000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAN MIGUEL EL ALTO,OCDS-0UD2Q6-CADQ/867/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,220000000,MXN,220000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAN JULIAN,OCDS-0UD2Q6-CADQ/907/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,217000000,MXN,217000000,31/12/2013,2013,CENTRO DE ACOPIO DE ENCARNACION DE DIAZ,OCDS-0UD2Q6-CADQ/870/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,215530000,MXN,215530000,03/01/2015,2015,CENTRO DE ACOPIO DE ENCARNACION DE DIAZ,OCDS-0UD2Q6-CADQ/2618/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,211017584,MXN,211017584,31/12/2015,2015,CENTRO DE ACOPIO DE SAN JULIAN,OCDS-0UD2Q6-CADQ/548/2016,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,206324992,MXN,206324992,03/01/2015,2015,CENTRO DE ACOPIO DE SAN JUAN DE LOS LAGOS,OCDS-0UD2Q6-CADQ/2622/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,205035008,MXN,205035008,03/01/2015,2015,CENTRO DE ACOPIO DE SAN JULIAN,OCDS-0UD2Q6-CADQ/2623/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,185384208,MXN,185384208,31/12/2015,2015,CENTRO DE ACOPIO DE SAN MIGUEL EL ALTO,OCDS-0UD2Q6-CADQ/549/2016,direct,,1,
liconsa sa de cv,COMPRA DE LECHE DESCREMADA EN POLVO,Compra de leche,184000000,MXN,184000000,04/02/2017,2017,"PROCESADORA de CARNICOS, DERIVADOS Y GRANOS DEL CENTRO, S.A. de C.V.",OCDS-0UD2Q6-CADQ/1723/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,166570000,MXN,166570000,03/01/2015,2015,CENTRO DE ACOPIO DE SAN MIGUEL EL ALTO,OCDS-0UD2Q6-CADQ/2624/2015,direct,,1,
liconsa sa de cv,COMPRA Y SUMINISTRO DE LECHE EN POLVO DE ORIGEN NACIONAL,Compra de leche,164000000,MXN,164000000,25/05/2015,2015,"PROCESADORA de CARNICOS, DERIVADOS Y GRANOS DEL CENTRO, S.A. de C.V.",OCDS-0UD2Q6-SA-020VST011-N2-2015,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=571881,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,160670000,MXN,160670000,03/01/2015,2015,CENTRO DE ACOPIO DE FATIMA,OCDS-0UD2Q6-CADQ/2875/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,160000000,MXN,160000000,31/12/2013,2013,CENTRO DE ACOPIO DE JALOSTOTITLAN,OCDS-0UD2Q6-CADQ/909/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,156041040,MXN,156041040,31/12/2015,2015,CENTRO DE ACOPIO DE FATIMA,OCDS-0UD2Q6-CADQ/529/2016,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,146660000,MXN,146660000,03/01/2015,2015,QUESOS FINOS SANTA CLARA DE NAMIQUIPA S.A. DE C.V.,OCDS-0UD2Q6-CADQ/2767/2015,direct,,1,
liconsa sa de cv,TRANSPORTE Y DISTRIBUCION DE LECHE LIQUIDA,Transporte,136161760,MXN,136161760,02/01/2015,2015,"TRANSPORTES TRANASA, S.A. de C.V.",OCDS-0UD2Q6-PST/663/2015,open,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,130150392,MXN,130150392,31/12/2015,2015,CENTRO DE ACOPIO DE JALOSTITLAN,OCDS-0UD2Q6-CADQ/544/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,124000000,MXN,124000000,02/04/2016,2016,AGROPECUARIA SAN BENITO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/2539/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,121380000,MXN,121380000,03/01/2015,2015,CENTRO DE ACOPIO DE JALOSTOTITLAN,OCDS-0UD2Q6-CADQ/2619/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,119345560,MXN,119345560,31/12/2015,2015,AGROPECUARIA SAN BENITO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/628/2016,direct,,1,
liconsa sa de cv,RECOLECCIÓN Y TRANSPORTE DE LECHE FRESCA DE LOS CENTROS DE ACOPIO A LAS PLANTAS,Transporte,118442800,MXN,118442800,15/04/19,2019,"Translíquidos Refrigerados López, S.A. de C.V.",LA-020VST001-E15-2019,open,,1,
liconsa sa de cv,SERVICIO DE TRANSPORTE DE LECHE FRESCA,Transporte,117716888,MXN,117716888,28/02/2017,2017,TRANSLIQUIDOS REFRIGERADOS LOPEZ S.A. DE C.V.,OCDS-0UD2Q6-LA-020VST005-E21-2017,open,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1070216,1,
liconsa sa de cv,SERVICIO DE TRANSPORTE DE LECHE FRESCA 01/03/ AL 31/12/2017,Transporte,117716888,MXN,117716888,28/02/2017,2017,TRANSLIQUIDOS REFRIGERADOS LOPEZ S.A. DE C.V.,OCDS-0UD2Q6-LA-020VST005-E21-2017,open,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1070216,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,115000000,MXN,115000000,31/12/2013,2013,CENTRO DE ACOPIO DE JUVENTINO ROSAS,OCDS-0UD2Q6-CADQ/1422/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,112010864,MXN,112010864,31/12/2015,2015,DESARROLLO SOCIAL LECHERO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/612/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,105000000,MXN,105000000,31/12/2013,2013,INDUSTRIALIZADORA Y PROCESADORA DE PRODUCTOS LACTEOS DE DELICIAS S.A. DE C.V.,OCDS-0UD2Q6-CADQ/465/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,104359000,MXN,104359000,03/01/2015,2015,AGROPECUARIA SAN BENITO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/2761/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,104000000,MXN,104000000,31/12/2013,2013,CENTRO DE ACOPIO DE MEOQUI,OCDS-0UD2Q6-CADQ/773/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,100000000,MXN,100000000,31/12/2013,2013,CENTRO DE ACOPIO DE BAJIO DE SAN JOSE,OCDS-0UD2Q6-CADQ/868/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE DE IMPORTACION,Compra de leche,99216000,MXN,99216000,31/12/2015,2015,MASTELLONE HERMANOS S.A.,OCDS-0UD2Q6-CEX/251/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE ENTERA EN POLVO FORTIFICADA E INSTANTANEA,Compra de leche,98000000,MXN,98000000,31/05/2013,2013,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/151/2011,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,96800000,MXN,96800000,31/12/2013,2013,LACTEOS Y FORRAJES S.P.R. DE R.L.,OCDS-0UD2Q6-CADQ/143/2014,direct,,1,
liconsa sa de cv,SERVICIO DE TRANSPORTE DE LECHE FRESCA-ABRIL A DICIEMBRE-2018,Transporte,94214776,MXN,94214776,31/03/2018,2018,TRANSLIQUIDOS REFRIGERADOS LOPEZ S.A. DE C.V.,OCDS-0UD2Q6-LA-020VST005-E4-2018,open,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1398048,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,94000000,MXN,94000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAN FELIPE TORRES MOCHAS,OCDS-0UD2Q6-CADQ/1420/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,92500000,MXN,92500000,31/12/2013,2013,CENTRO DE ACOPIO DE CAPILLA DE GUADALUPE,OCDS-0UD2Q6-CADQ/908/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,90000000,MXN,90000000,31/12/2013,2013,DESARROLLO SOCIAL LECHERO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/459/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,90000000,MXN,90000000,31/12/2013,2013,CENTRO DE ACOPIO DE LORETO,OCDS-0UD2Q6-CADQ/912/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE DESCREMADA EN POLVO,Compra de leche,87000000,MXN,87000000,04/02/2017,2017,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/778/2014,direct,,1,
liconsa sa de cv,COMPRA Y SUMINISTRO DE LECHE EN POLVO DE ORIGEN NACIONAL ILAS,Compra de leche,87000000,MXN,87000000,25/05/2015,2015,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-SA-020VST011-N2-2015,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=571881,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,87000000,MXN,87000000,31/12/2013,2013,GANADEROS EN ACCION S.P.R. DE R.L.,OCDS-0UD2Q6-CADQ/145/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,82000000,MXN,82000000,31/12/2013,2013,PRODUCTORES AGROPECUARIOS DE ARROYO BRAVO S.C. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/146/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,80000000,MXN,80000000,31/12/2013,2013,CENTRO DE ACOPIO DE TEOCALTICHE,OCDS-0UD2Q6-CADQ/2288/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,79036232,MXN,79036232,31/12/2015,2015,CENTRO DE ACOPIO DE BAJIO DE SAN JOSE,OCDS-0UD2Q6-CADQ/540/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,78000000,MXN,78000000,31/12/2013,2013,CENTRO DE ACOPIO DE VALLE DE SANTIAGO,OCDS-0UD2Q6-CADQ/1421/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,78000000,MXN,78000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAUCILLO,OCDS-0UD2Q6-CADQ/774/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,77928000,MXN,77928000,31/12/2014,2014,QUESOS FINOS SANTA CLARA DE NAMIQUIPA S.A. DE C.V.,OCDS-0UD2Q6-CADQ/67/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,77074736,MXN,77074736,31/12/2015,2015,INDUSTRIALIZADORA Y PROCESADORA DE PRODUCTOS LACTEOS DE DELICIAS S.A. DE C.V.,OCDS-0UD2Q6-CADQ/615/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,75759960,MXN,75759960,31/12/2015,2015,CENTRO DE ACOPIO DE MEOQUI,OCDS-0UD2Q6-CADQ/534/2016,direct,,1,
liconsa sa de cv,"CONTRATO DE COMPRAVENTA DE LECHE EN POLVO INSTANTÁNEA, FORTIFICADA CON VITAMINAS Y MINERALES ADICIONADA CON 12 A 14% DE GRASA VEGETAL Y LECHE ENTERA EN POLVO INSTANTANEA, FORTIFICADA CON VITAMINAS Y MINERALES PARA ENVASADO DIRECTO",Compra de leche,75097712,MXN,75097712,22/10/2015,2015,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-SA-020VST011-I5-2015,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=723357,1,
liconsa sa de cv,COMPRA VENTA DE LECHE DESCREMADA EN POLVO,Compra de leche,75000000,MXN,75000000,09/11/2016,2016,ILAS DE MEXICO S.A. DE C.V.,OCDS-0UD2Q6-CADQ/1978/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,74523248,MXN,74523248,31/12/2015,2015,GRUPO LACTODEL S.A. DE C.V.,OCDS-0UD2Q6-CADQ/614/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,73865464,MXN,73865464,31/12/2015,2015,QUESOS FINOS SANTA CLARA DE NAMIQUIPA S.A. DE C.V.,OCDS-0UD2Q6-CADQ/622/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,72933048,MXN,72933048,31/12/2015,2015,CENTRO DE ACOPIO DE CAPILLA DE GUADALUPE,OCDS-0UD2Q6-CADQ/541/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,71000000,MXN,71000000,31/12/2013,2013,GRUPO SOLIDARIO DE RESPONSABILIDAD SOLIDARIA E ILIMITADA EL MEZQUITAL,OCDS-0UD2Q6-CADQ/147/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,70800000,MXN,70800000,03/01/2015,2015,CENTRO DE ACOPIO DE BAJIO DE SAN JOSE,OCDS-0UD2Q6-CADQ/2617/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,70555000,MXN,70555000,03/01/2015,2015,CENTRO DE ACOPIO DE CAPILLA DE GUADALUPE,OCDS-0UD2Q6-CADQ/2616/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,70500000,MXN,70500000,31/12/2013,2013,CENTRO DE ACOPIO GRANJAS FATIMA,OCDS-0UD2Q6-CADQ/900/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,70000000,MXN,70000000,31/12/2013,2013,GRUPO LACTODEL S.A. DE C.V.,OCDS-0UD2Q6-CADQ/462/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,70000000,MXN,70000000,31/12/2013,2013,CENTRO DE ACOPIO DE JULIMES,OCDS-0UD2Q6-CADQ/772/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,70000000,MXN,70000000,31/12/2013,2013,CENTRO DE ACOPIO DE ISLA,OCDS-0UD2Q6-CADQ/767/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,68615000,MXN,68615000,31/12/2014,2014,CENTRO DE ACOPIO DE LAGOS DE MORENO,OCDS-0UD2Q6-CADQ/1384/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,67471504,MXN,67471504,31/12/2015,2015,CENTRO DE ACOPIO DE LORETO,OCDS-0UD2Q6-CADQ/571/2016,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,66440000,MXN,66440000,03/01/2015,2015,JAVIER DE LA LUZ PEDROZA GUZMAN,OCDS-0UD2Q6-CADQ/2642/2015,direct,,1,
liconsa sa de cv,TRANSPORTE DE LECHE LÍQUIDA,Transporte,65908645,MXN,65908644.54,25/04/19,2019,"TRANSPORTES TRANASA, S.A. DE C.V. EN FORMA CONJUNTA CON TRANSPORTES LACE, S.A. DE C.V.",LA-020VST001-E11-2019,open,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,65583000,MXN,65583000,06/01/2015,2015,"PROCESADORA de CARNICOS, DERIVADOS Y GRANOS DEL CENTRO, S.A. de C.V.",OCDS-0UD2Q6-CADQ/3002/2015,direct,,1,
liconsa sa de cv,"BRIK TBA 1 LT. SLIM, BRIK TBA 250 ML NATURAL Y SABORIZADA, POPOTE, CINTA LS-STRIP",Compra de leche,64657390,MXN,64657390,16/04/19,2019,TETRA PAK S.A. DE C.V.,AA-020VST004-E23-2019,direct,,,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,63462408,MXN,63462408,31/12/2015,2015,CENTRO DE ACOPIO DE JUVENTINO ROSAS,OCDS-0UD2Q6-CADQ/536/2016,direct,,1,
liconsa sa de cv,CONTRATACIÓN ABIERTA DEL SERVICIO DE TRANSPORTE Y DISTRIBUCION DE LECHE LIQUIDA Y POLVO A PUNTOS DE VENTA,Transporte,63285456,MXN,63285456,28/02/2018,2018,"TRANSPORTES TRANASA, S.A. de C.V.",OCDS-0UD2Q6-AA-020VST001-E21-2018,direct,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1409519,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,63062000,MXN,63062000,31/05/2016,2016,AGROPECUARIA SAN BENITO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/60/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,62527000,MXN,62527000,31/12/2014,2014,CENTRO DE ACOPIO DE GRANJAS FATIMA,OCDS-0UD2Q6-CADQ/1137/2015,direct,,1,
liconsa sa de cv,CONTRATACIÓN ABIERTA DEL SERVICIO DE TRANSPORTE DE LECHE LIQUIDA 485878 03-TLN-L-LP14 11-GUA-L-LP-14 14-GUA-L-LP-14,Transporte,61883948,MXN,61883948,31/12/2013,2013,MARIA CECILIA PORTILLO VALDEPENA,OCDS-0UD2Q6-LA-020VST001-N138-2013,open,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=338207,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,61003000,MXN,61003000,06/01/2015,2015,MIGUEL ANGEL ROMO HERMOSILLO,OCDS-0UD2Q6-CADQ/3001/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,60000000,MXN,60000000,31/12/2013,2013,SUNILEC S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/461/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,59675000,MXN,59675000,31/12/2014,2014,CENTRO DE ACOPIO DE SAN JUAN DE LOS LAGOS,OCDS-0UD2Q6-CADQ/1395/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,59548000,MXN,59548000,03/01/2015,2015,DESARROLLO SOCIAL LECHERO S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/2752/2015,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,58118000,MXN,58118000,03/01/2015,2015,INDUSTRIALIZADORA Y PROCESADORA DE PRODUCTOS LACTEOS DE DELICIAS S.A. DE C.V.,OCDS-0UD2Q6-CADQ/2758/2015,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,57301052,MXN,57301052,31/12/2015,2015,SUNILEC S.P.R. DE R.L. DE C.V.,OCDS-0UD2Q6-CADQ/624/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,56000000,MXN,56000000,31/12/2013,2013,CENTRO DE ACOPIO DE JAMAY,OCDS-0UD2Q6-CADQ/816/2014,direct,,1,
liconsa sa de cv,COMPRA VENTA DE LECHE FRESCA FRIA,Compra de leche,56000000,MXN,56000000,05/09/2013,2013,AGRO LECHERA ALTEÑA S.A. DE C.V.,OCDS-0UD2Q6-CADQ/2006/2013,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,55883272,MXN,55883272,31/12/2015,2015,CENTRO DE ACOPIO DE TORRES MOCHAS,OCDS-0UD2Q6-CADQ/537/2016,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA,Compra de leche,55000000,MXN,55000000,31/12/2013,2013,SOCIEDAD DE PRODUCTORES CORDILLERA JULIMES LAS VARAS S. DE R.L. DE M.I.,OCDS-0UD2Q6-CADQ/464/2014,direct,,1,
liconsa sa de cv,COMPRAVENTA DE LECHE FRESCA FRIA Y/O CALIENTE,Compra de leche,55000000,MXN,55000000,31/12/2013,2013,CENTRO DE ACOPIO DE SAN DIEGO DE ALEJANDRIA,OCDS-0UD2Q6-CADQ/910/2014,direct,,1,
