contracts/awardID,_nomenclatura,tender/tenderPeriod/startDate,buyer/name,tender/description,tender/numberOfBidders,tender/value/currency,planning/budget/estimatedValue,contracts/contractingRegime/name,contracts/items/classification/scheme,tender/procurementMethod,_contracts/id/additionalInformation,contracts/value/amount,entidad_contratante,awards/suppliers/name,ruc,contracts/description,contracts/value/currency,contracts/value/amount/original,contracts/period/startDate,contracts/contractingNumber
362991,AS-SM-5-2017-MPH/CS-1,2017-05-16,MUNICIPALIDAD PROVINCIAL DE HUANCANE,CONTRATACION DE BIEN LECHE EVAPORADA PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINICAL DE HUANCANE-PUNO,1,PEN,"289996,80",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"289996,80",MUNICIPALIDAD PROVINCIAL DE HUANCANE,NIISA CORPORATION SA,20502503180,"CONTRATO DE SUMINISTRO DE BIEN LECHE EVAPORADA, PARA ELPROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE HUANCANE - PUNO",PEN,"289996,80",14/08/2017,AS N° 05-2017-MPH/CS
363115,AS-SM-7-2017-MDL-CS-1,2017-05-17,MUNICIPALIDAD DISTRITAL DE LINCE,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,1,PEN,"187389,90",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"187389,50",MUNICIPALIDAD DISTRITAL DE LINCE,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,PEN,"187389,50",26/06/2017,13-2017
361093,AS-SM-3-2017-CS/MDVR-1,2017-05-10,MUNICIPALIDAD DISTRITAL DE VILLA RICA,INSUMOS DEL PROGRAMA DEL VASO DE LECHE,1,PEN,"236718,29",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"236718,29",MUNICIPALIDAD DISTRITAL DE VILLA RICA,NIISA CORPORATION SA,20502503180,INSUMOS DEL PROGRAMA DEL VASO DE LECHE,PEN,"139320,00",20/07/2017,150 2017 MDVR
343963,AS-SM-4-2017-CS/MDP-1,2017-03-07,MUNICIPALIDAD DISTRITAL DE PAZOS,ADQUISICION DE PRODUCTOS PARA EL PROGRAMA DEL VASO DE LECHE PARA LOS BENEFICIARIOS DEL PVL DE LA MUNICIPALIDAD DISTRITAL DE PAZOS ¿ TAYACAJA ¿ HUANCAVELICA,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"183142,08",MUNICIPALIDAD DISTRITAL DE PAZOS,NIISA CORPORATION SA,20502503180,ADQUISICION DE PRODUCTOS PARA EL PROGRAMA DEL VASO DE LECHE PARA LOS BENEFICIARIOS DEL PVL DE LA MUNICIPALIDAD DISTRITAL DE PAZOS,PEN,"129022,08",23/04/2017,006-2017/MDP
345771,AS-SM-1-2017-CSPVL-MDU-1,2017-03-15,MUNICIPALIDAD DISTRITAL DE UMARI,ADQUISICION DE INSUMOS PROGRAMA DEL VASO DE LECHE AÑO 2017,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"303364,00",MUNICIPALIDAD DISTRITAL DE UMARI,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PROGRAMA DEL VASO DE LECHE AÑO 2017,PEN,"151200,00",26/04/2017,N°001-2017-MDU
348357,AS-SM-1-2017-CS-MDM-1,2017-03-20,MUNICIPALIDAD DISTRITAL DE MARCONA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MARCONA,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"79348,80",MUNICIPALIDAD DISTRITAL DE MARCONA,NIISA CORPORATION SA,20502503180,CONTRATO PARA LA ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MARCONA,PEN,"79348,80",15/05/2017,002-2017-MDM
346896,LP-SM-1-2017-PVL-MPI-1,2017-03-20,MUNICIPALIDAD PROVINCIAL DE ICA,CONTRATACION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MPI AÑO 2017,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Licitación Pública,Sin Modalidad,"858114,37",MUNICIPALIDAD PROVINCIAL DE ICA,NIISA CORPORATION SA,20502503180,CONTRATACION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MPI AÑO 2017,PEN,"721146,00",23/06/2017,01-2017
347476,AS-SM-4-2017-MPSAP-CS-1,2017-03-21,MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA,Adquisición De Insumos Del Programa Del Vaso De Leche Para La Municipalidad Provincial De San Antonio De Putina,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"219872,60",MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA,NIISA CORPORATION SA,20502503180,contrato de Adquisición De Insumos Del Programa Del Vaso De Leche Para La Municipalidad Provincial De San Antonio De Putina,PEN,"161709,60",03/07/2017,00-2017
348078,AS-SM-8-2017-MPH/CS-1,2017-03-24,MUNICIPALIDAD PROVINCIAL DE HUAMANGA,"ADQUISICIÓN DE INSUMOS PARA EL PROGRAMA VASO DE LECHE, LECHE EVAPORADA ENTERA DE 410 GR, PARA EL DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO.",1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"377346,00",MUNICIPALIDAD PROVINCIAL DE HUAMANGA,NIISA CORPORATION SA,20502503180,"ADQUISICIÓN DE INSUMOS PARA EL PROGRAMA VASO DE LECHE, LECHE EVAPORADA ENTERA DE 410 GR, PARA EL DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO",PEN,"377346,00",13/07/2017,1026-2017-MPH/GM
348364,AS-SM-2-2017-MDI-CS-1,2017-03-24,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - HUARAZ,ADQUISICION DE BIENES: ADQUISICION DE LECHE EVAPORADA TARROS DE 410 GRAMOS PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"330754,05",MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - HUARAZ,NIISA CORPORATION SA,20502503180,ADQUISICION DE BIENES: ADQUISICION DE LECHE EVAPORADA TARROS DE 410 GRAMOS PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL,PEN,"330754,05",08/05/2017,2
349340,AS-SM-1-2017-MPYLO-1,2017-03-28,MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,Adquisición de Leche Evaporada para el PVL,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"313470,00",MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,NIISA CORPORATION SA,20502503180,Contrato N006-2017-MPYO/GM,PEN,"313470,00",09/05/2017,6
349519,AS-SM-1-2017-CS-MPN-1,2017-03-30,MUNICIPALIDAD PROVINCIAL DE NAZCA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE NASCA,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"214965,41",MUNICIPALIDAD PROVINCIAL DE NAZCA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE NASCA,NA,"161317,80",16/05/2017,CONTRATO N 002-2017-SGLOGSG-GAF/MPN
355113,LP-SM-3-2017-MPAL/C.S.-1,2017-03-30,MUNICIPALIDAD PROVINCIAL DE ANGARAES - LIRCAY,ADQUISICION DE PRODUCTOS ALIMENTICIOS  PARA EL PROGRAMA VASO DE LECHE,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Licitación Pública,Sin Modalidad,"463660,72",MUNICIPALIDAD PROVINCIAL DE ANGARAES - LIRCAY,NIISA CORPORATION SA,20502503180,ADQUISICION DE PRODUCTOS ALIMENTICIOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE ANGARAES  LIRCAY  HUANCAVELICA  LECHE EVAPORADA ENTERA DE 410 GR.  PERIODO 2017,PEN,"334152,00",13/06/2017,CONTRATO N° 004-2017-GM/MPAL/L.P.
343709,AS-SM-1-2017-MPY/CS-1,2017-03-07,MUNICIPALIDAD PROVINCIAL DE YUNGAY,SUMINISTRO DE PRODUCTOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE YUNGAY - 2017,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"205272,81",MUNICIPALIDAD PROVINCIAL DE YUNGAY,NIISA CORPORATION SA,20502503180,CONTRATO DE BIENES N° 002 - 2017,PEN,"140316,75",20/04/2017,N° 002 - 2017
345490,AS-SM-2-2017-MDM/CS-1,2017-03-14,MUNICIPALIDAD DISTRITAL DE MOROCOCHA,ADQUISICIÓN DE ALIMENTOS PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MOROCOCHA PARA EL AÑO FISCAL 2017,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"114604,88",MUNICIPALIDAD DISTRITAL DE MOROCOCHA,NIISA CORPORATION SA,20502503180,CONTRATO DE SUMINISTRO DE ALIMENTOS PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE MOROCOCHA PARA EL EJERCICIO PRESUPUESTAL 2017  - ITEM I,PEN,"76464,00",02/05/2017,003-2017-GM/MDM
345812,AS-SM-1-2017-CS-MDH-1,2017-03-15,MUNICIPALIDAD DISTRITAL DE HUALMAY,SUMINISTRO DE PRODUCTOS PARA EL PROGRAMA DE VASO DE LECHE DE HUALMAY 2017,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"195829,36",MUNICIPALIDAD DISTRITAL DE HUALMAY,NIISA CORPORATION SA,20502503180,SUMINISTRO DE PRODUCTOS PARA EL PROGRAMA DE VASO DE LECHE,PEN,"112240,00",31/05/2017,142-2017
319028,LP-SM-5-2016-MPH/CS-LP-1,2016-11-30,MUNICIPALIDAD PROVINCIAL DE HUANCAYO,ADQUISICION DE ALIMENTOS PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2017-2018,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Licitación Pública,Sin Modalidad,"941881,08",MUNICIPALIDAD PROVINCIAL DE HUANCAYO,NIISA CORPORATION SA,20502503180,ADQUISICION DE ALIMENTOS PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE HUANCAYO PARA EL AÑO 2017-2018,PEN,"631807,68",12/01/2017,001-2017-MPH-GA
79420,LP-CLASICO-1-2015-MPCI/CE-1,2015-02-26,MUNICIPALIDAD PROVINCIAL DE EL COLLAO - ILAVE,LECHE EVAPORADA ENTERA. PROGRAMA VASO DE LECHE,1,PEN,"549110,05",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Licitación Pública,Clásico,"539803,10",MUNICIPALIDAD PROVINCIAL DE EL COLLAO - ILAVE,NIISA CORPORATION SA,20502503180,LECHE EVAPORADA ENTERA X 410 GR.,PEN,"539803,10",31/08/2015,012-2015-MPCI
80102,LP-CLASICO-3-2015-MPS-CE-1,2015-02-26,MUNICIPALIDAD PROVINCIAL DE SANTA - CHIMBOTE,ADQUISICION DE LECHE EVAPORADA ENTERA X 410 GR PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DEL SANTA DISTRITO DE CHIMBOTE SANTA ANCASH,1,PEN,"1141814,31",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Licitación Pública,Clásico,"1125084,43",MUNICIPALIDAD PROVINCIAL DE SANTA - CHIMBOTE,NIISA CORPORATION SA,20502503180,ADQUISICION DE LECHE EVAPORADA ENTERA X 410 GR PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DEL SANTA DISTRITO DE CHIMBOTE SANTA ANCASH,PEN,"1125084,43",20/05/2015,09-2015
75424,ADS-CLASICO-1-2015-CE/MM-1,2015-02-09,MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA,ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE PARA EL 2015,1,PEN,"114277,83",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Selectiva,Clásico,"114277,83",MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE PARA EL 2015 - item 01: leche evaporada enteral,PEN,"63288,96",30/03/2015,011-2015
76939,ADP-CLASICO-1-2015-CE-MPN-1,2015-02-17,MUNICIPALIDAD PROVINCIAL DE NAZCA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DE VASO DE LECHE DE LA MUNICIPALIDAD PROVINCIAL DE NASCA,1,PEN,"247929,84",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Pública,Clásico,"247929,84",MUNICIPALIDAD PROVINCIAL DE NAZCA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA DE VASO DE LECHE - ITEM N° 01,PEN,"183372,00",02/04/2015,CONTRATO N° 0006-2015-SGLOGSG-GAF/MPN
75415,ADP-CLASICO-1-2015-CE-MDH-1,2015-02-11,MUNICIPALIDAD DISTRITAL DE HUALMAY,ADQUISICIÓN DE ALIMENTOS PARA EL PROGRAMA DE VASO DE LECHE DE HUALMAY 2015,1,PEN,"234974,10",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Pública,Clásico,"234974,10",MUNICIPALIDAD DISTRITAL DE HUALMAY,NIISA CORPORATION SA,20502503180,ADQUISICIÓN DE ALIMENTOS PARA EL PROGRAMA DE VASO DE LECHE DE HUALMAY 2015,NA,"134558,40",01/04/2015,RESOLUCION DE ALCALDIA N° 116-2015
74895,ADP-CLASICO-1-2015-MDP/CEP-1,2015-02-04,MUNICIPALIDAD DISTRITAL DE PICHANAKI,ADQUISICION DE LECHE EVAPORADA PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE PICHANAQUI - EJERCICIO FISCAL 2015,1,PEN,"370440,00",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Pública,Clásico,"369117,00",MUNICIPALIDAD DISTRITAL DE PICHANAKI,NIISA CORPORATION SA,20502503180,ADQUISICION DE LECHE EVAPORADA PARA EL PROGRAMA VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE PICHANAQUI - EJERCICIO FISCAL 2015,PEN,"369117,00",08/04/2015,04-2015/MDP/GM
74642,ADP-CLASICO-2-2015-MPSC-1,2015-02-03,MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,ADQUISICION DE LECHE EVAPORADA ENTERA PARA EL PVL 2015,1,PEN,"395559,36",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Adjudicación Directa Pública,Clásico,"395559,36",MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,NIISA CORPORATION SA,20502503180,ADQUISICION DE LECHE EVAPORADA ENTERA PARA EL PVL 2015,PEN,"395559,36",11/03/2015,02-2015-MPSC/SG-LOG
78594,LP-CLASICO-2-2015-CE/PVL-MPT-1,2015-02-23,MUNICIPALIDAD PROVINCIAL DE TALARA - PARIÑAS,ADQUISICION DE INSUMOS PARA EL PROGRAMA VASO DE LECHE DEL DISTRITO DE PARINAS  PROVINCIA DE TALARA  PIURA,1,PEN,"1118339,76",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Licitación Pública,Clásico,"1104406,46",MUNICIPALIDAD PROVINCIAL DE TALARA - PARIÑAS,NIISA CORPORATION SA,20502503180,ADQUISICION DE LECHE EVAPORADA ENTERA DE 410 GR. PARA EL PROGRAMA VASO DE LECHE DEL DISTRITO DE PARIÑAS - PROVINCIA DE TALARA - PIURA,PEN,"630674,60",22/06/2015,004-05-2015-CE/PVL-MPT
74927,EXO-PROC-1-2015-SGLYSG/MDSL,2015-02-05,MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,NA,PEN,"87762,61",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Exoneración,Procedimiento,"87762,60",MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS VASO DE LECHE,PEN,"61884,00",27/02/2015,2
80090,EXO-PROC-1-2015-MDJLO,2015-02-27,MUNICIPALIDAD DISTRITAL DE JOSE LEONARDO ORTIZ,Adquisicion de Insumos para el Programa del Vaso de Leche para Municipalidad Distrital de Jose Leonardo Ortiz,NA,PEN,"440686,60",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Exoneración,Procedimiento,"440686,60",MUNICIPALIDAD DISTRITAL DE JOSE LEONARDO ORTIZ,NIISA CORPORATION SA,20502503180,CONTRATO DE SUMINISTROS,PEN,"182363,60",25/03/2015,002-2015-MDJLO/GM
80346,EXO-PROC-3-2015-SGL/MDB,2015-02-27,MUNICIPALIDAD DISTRITAL DE BREÑA,ADQUISICION DE INSUMOS AIMENTICIOS PARA EL PROGRAMA DEL VASO DE LECHE,NA,PEN,"67067,70",Decreto Legislativo Nº 1017 - Ley de Contrataciones del Estado,bien,Exoneración,Procedimiento,"46365,16",MUNICIPALIDAD DISTRITAL DE BREÑA,NIISA CORPORATION SA,20502503180,LECHE EVAPORADA ENTERA EN TARROS DE 410 GR.,PEN,"46365,16",09/06/2015,1
277705,AS-SM-10-2016-CS/MDSL-1,2016-06-24,MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,1,PEN,NA,Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"259633,90",MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,NIISA CORPORATION SA,20502503180,ADQUISICION DE INSUMOS PARA EL PROGRAMA DEL VASO DE LECHE,NA,"168498,70",03/08/2016,7
439792,AS-SM-1-2018-MPSAP-CS-1,2018-04-17,MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA,Contratación Para La Adquisición De Insumos Para El Programa De Vaso De Leche Como Siete Harinas Azucarada y Leche Evaporada Entera de 410 Gr. Para La Municipalidad Provincial De San Antonio De Putina Puno.,1,PEN,"232965,00",Ley N° 30225 - Ley de Contrataciones del Estado,bien,Adjudicación Simplificada,Sin Modalidad,"232965,00",MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA,NIISA CORPORATION SA,20502503180,Contrato Para La Adquisición De Leche Evaporada Entera de 410 Gr. Para El Programa De Vaso De Leche Para La Municipalidad Provincial De San Antonio De Putina Puno.,PEN,"167400,00",08/07/2018,00-2018
