contracts/id,buyer/type,buyer/type/level,buyer/name,buyer/name/subname,NOG CONCURSO,contracts/description,tender/procurementMethod,SUB MODALIDAD,awards/suppliers/id,awards/suppliers/name,contracts/value/amount,tender/tenderPeriod/startDate,tender/tenderPeriod/startDate/month,tender/tenderPeriod/startDate/year,contracts/period/startDate,awards/date,awards/date/month,contracts/period/startDate/Year,contracts/items/classification/scheme,tender/status,tender/tenderPeriod/endDate,tender/tenderPeriod/endDate/month,tender/tenderPeriod/endDate/year,FECHA CAMBIO ESTATUS
4255,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ENFERMEDADES,5841372,"EVENTO 951/2017. SUMINISTRO DE LACTEOS, PAQUETE.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,710605K,"RAMIREZ,LEMUS,,ELIOT,UVALDO",41227230,16-01-2017,Enero,2017,24-01-2017,24-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,18-01-2017,Enero,2017,NA
4266,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ENFERMEDADES,5841542,"EVENTO 955/2017. SUMINISTRO DE LECHE EN POLVO ENTERA, ENVASE DE 50 DE 55 LIBRAS.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,57623554,"TODO TERRENO MILK PRODUCTS, SOCIEDAD ANONIMA",9375000,16-01-2017,Enero,2017,25-01-2017,25-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,18-01-2017,Enero,2017,NA
4654,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE RETALHULEU,5846889,"BASES PARA OFERTAR EVENTO NO. 70, FÓRMULA SEMIELEMENTAL SIN LACTOSA, CON O SIN SABOR, POLVO BOTE 400-1000G. CODIGO IGSS 256.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,5801338,SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,2142860,16-01-2017,Enero,2017,20-01-2017,20-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,19-01-2017,Enero,2017,NA
4658,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE RETALHULEU,5846986,"BASES PARA OFERTAR EVENTO NO. 71, LECHE A BASE DE SOYA SIN LACTOSA, POLVO EXCLUSIVAMENTE BOTE DE 400G - 460G. CODIGO IGSS 403.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,835710,16-01-2017,Enero,2017,20-01-2017,20-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,19-01-2017,Enero,2017,NA
4729,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO DE RECREACIÓN DE LOS TRABAJADORES -IRTRA-,PARQUE DE DIVERSIONES XETULUL,5848067,"5,220 LITROS DE LECHE LIQUIDA",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,8156468,"HELADOS DE CENTROAMERICA, SOCIEDAD ANONIMA",41760000,16-01-2017,Enero,2017,19-01-2017,19-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,19-01-2017,Enero,2017,NA
4818,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL PEDRO DE BETHANCOURT,5849314,SUMINISTRO DE LÁCTEOS,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,64198464,"NEGOCIOS AGROMERCANTILES, SOCIEDAD ANONIMA",76260000,16-01-2017,Enero,2017,20-01-2017,20-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,19-01-2017,Enero,2017,NA
5459,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ENFERMEDADES,5857376,EVENTO 1023/2017 LECHE A BASE DE SOYA SIN LACTOSA POLVO EXCLUSIVAMENTE BOTE DE 400G- 460G.,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,13037140,17-01-2017,Enero,2017,10-02-2017,10-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,20-01-2017,Enero,2017,NA
5502,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ENFERMEDADES,5857821,"EVENTO 1024/2017 FORMULA PARA LACTANTE CON LACTOSA, FORMULA SUCEDANEA DE LA LECHE MATERNA, EXCLUSIVAMENTE EN POLVO, ENVASE DE 400 A 460 GRAMOS.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,51480000,17-01-2017,Enero,2017,10-02-2017,10-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,20-01-2017,Enero,2017,NA
5509,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ENFERMEDADES,5857902,"EVENTO 1025/2017 FORMULA ESPECIALIZADA PARA NIÑOS POLVO DE 400G-460G. ""DIETA SEMI ELEMENTAL SIN LACTOSA PARA NIÑOS DE 01 A 10 AÑOS""",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,5801338,SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,40500000,17-01-2017,Enero,2017,09-02-2017,09-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,20-01-2017,Enero,2017,NA
5599,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,5858917,SUMINISTRO DE LACTEOS CORRESPONDIENTE AL MES DE FEBRERO 2017,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,3410439,"PADILLA,CRUZ,,LESVIA,HAYDEE",17583480,18-01-2017,Enero,2017,31-01-2017,31-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,23-01-2017,Enero,2017,NA
6703,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL GENERAL SAN JUAN DE DIOS,5873215,FORMULA PARA ADULTO. TIPO: POLIMERICA; BASE: PROTEINA DE ALTA CALIDAD; CONSISTENCIA: POLVO; CLASE: SIN LACTOSA. PARA HOSPITAL GENERAL SAN JUAN DE DIOS,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,87673600,24-01-2017,Enero,2017,31-01-2017,31-01-2017,Enero,2017,Salud e insumos hospitalarios|,Terminado adjudicado,26-01-2017,Enero,2017,NA
6782,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO DE RECREACIÓN DE LOS TRABAJADORES -IRTRA-,HOSTALES,5874343,"9,500  litros de Leche semi descremada 100% de vaca,",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,8156468,"HELADOS DE CENTROAMERICA, SOCIEDAD ANONIMA",7.60E+07,22-01-2017,Enero,2017,26-01-2017,26-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,24-01-2017,Enero,2017,NA
7404,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL DE CUILAPA,5883628,"Adquisición de Lacteos  para el  Hospital Regional de Cuilapa, Santa Rosa",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,57307954,"OSORIO,HERNANDEZ,,JOSE,EDGAR",2.50E+07,23-01-2017,Enero,2017,27-01-2017,27-01-2017,Enero,2017,Alimentos y semillas|,Terminado adjudicado,25-01-2017,Enero,2017,NA
8207,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL NAC. DR. JOSE FELIPE FLORES TOTONICAPAN,5895200,SUMINISTRO DE LACTEOS PARA LA ALIMENTACION DE PACIENTES DEL HOSPITAL DEPARTAMENTAL DE TOTONICAPAN,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,70556083,"CHIVOLAC, SOCIEDAD ANÓNIMA",63900000,25-01-2017,Enero,2017,22-05-2017,22-05-2017,Mayo,2017,Alimentos y semillas|,Terminado adjudicado,27-01-2017,Enero,2017,NA
8414,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA""",5898137,"Adquisición de Fórmula para adulto Deslactosada, Componente: Fos inulina,  Polvo, lata de 400 grs., Formula infantil,  Polvo, Origen: Soya, Paciente: Lactante, Tipo: lata de 400 grs. y otros insumos.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,18835000,25-01-2017,Enero,2017,01-02-2017,01-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
8415,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA""",5898137,"Adquisición de Fórmula para adulto Deslactosada, Componente: Fos inulina,  Polvo, lata de 400 grs., Formula infantil,  Polvo, Origen: Soya, Paciente: Lactante, Tipo: lata de 400 grs. y otros insumos.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,22296000,25-01-2017,Enero,2017,01-02-2017,01-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
8416,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,"HOSPITAL REGIONAL DE HUEHUETENANGO ""DR. JORGE VIDES MOLINA""",5898137,"Adquisición de Fórmula para adulto Deslactosada, Componente: Fos inulina,  Polvo, lata de 400 grs., Formula infantil,  Polvo, Origen: Soya, Paciente: Lactante, Tipo: lata de 400 grs. y otros insumos.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,5801338,SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,6200000,25-01-2017,Enero,2017,01-02-2017,01-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
8930,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,5904536,"FORMULA PARA LACTANTE CON LACTOSA, FORMULA SUCEDÁNEA DE LA LECHA MATERNA EXCLUSICAMENTE POLVO ENVASE DE 400-460g",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,53622860,27-01-2017,Enero,2017,06-02-2017,06-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,02-02-2017,Febrero,2017,NA
8940,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,5904684,"FORMULA SEMIELEMENTAL SIN LACTOSA CON O SIN SABOR, POLVO BOTE DE 400-1000g",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,10934510,27-01-2017,Enero,2017,06-02-2017,06-02-2017,Febrero,2017,Alimentos y semillas|Salud e insumos hospitalarios|,Terminado adjudicado,02-02-2017,Febrero,2017,NA
8982,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL SANTA LUCIA COTZUMALGUAPA, ESCUINTLA",5905346,"COD. 403 LECHE A BASE DE SOYA SIN LACTOSA POLVO EXCLUSIVAMENTE BOTE DE 400G-460G. ENTREGA INMEDIATA, SE  LEVANTARA ACTA  DE INCUMPLIMIENTO AFECTANDOLE COMPRAS FUTURAS, SI NO TIENE ACREDITAMIENTO EN",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,4512860,26-01-2017,Enero,2017,03-02-2017,03-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
8985,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL SANTA LUCIA COTZUMALGUAPA, ESCUINTLA",5905370,"COD. 404 FÓRMULA PARA LACTANTE CON LACTOSA FÓRMULA SUCEDÁNEA DE LA LECHE MATERNA EXCLUSIVAMENTE POLVO, ENVASE DE 400 G - 460 G. ENTREGA INMEDIATA, SE  LEVANTARA ACTA  DE INCUMPLIMIENTO AFECTANDOLE",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,4751124,BODEGA FARMACEUTICA SOCIEDAD ANONIMA,3607500,26-01-2017,Enero,2017,03-02-2017,03-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
8989,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL SANTA LUCIA COTZUMALGUAPA, ESCUINTLA",5905451,"COD. 256 FÓRMULA SEMIELEMENTAL SIN LACTOSA CON O SIN SABOR POLVO BOTE 400-1000 G. ENTREGA INMEDIATA, SE  LEVANTARA ACTA  DE INCUMPLIMIENTO AFECTANDOLE COMPRAS FUTURAS, SI NO TIENE ACREDITAMIENTO EN",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,28500000,26-01-2017,Enero,2017,03-02-2017,03-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,30-01-2017,Enero,2017,NA
9415,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-,FINCA SAN JULIÁN,5910765,1. 70 quintales de concentrado para vaca lechera<br />2. 56 quintales de concentrado para novilla,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,5031192,"NELSON,PEÑA,,MILTON,GUILLERMO",17986500,27-01-2017,Enero,2017,01-02-2017,01-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,31-01-2017,Enero,2017,NA
9483,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE MAZATENANGO,5911745,SUMINISTRO DE  LACTEOS CORRESPONDIENTE DEL 08/02/2017 AL 07/03/2017,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,28101928,"SANDOVAL,NUÑEZ,RECINOS,ALVA,MARINA",1432140,27-01-2017,Enero,2017,01-02-2017,01-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,31-01-2017,Enero,2017,NA
9684,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,5913950,"COD. 256 Fórmula semielemental sin lactosa, con o sin sabor, Polvo bote 400-1000 g. SA-06 225/2017 EN TRAMITE. ANEXAR REGISTRO SANITARIO VIGENTE, COTIZACION E INSCRIPCION DE GUATECOMPRAS.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,26829640,31-01-2017,Enero,2017,07-02-2017,07-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,02-02-2017,Febrero,2017,NA
9692,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,5914043,"COD. 403 Leche a base de soya sin lactosa, Polvo exclusivamente bote, de 400 g - 460 g. SA-06 227/2017 EN TRAMITE. ANEXAR REGISTRO SANITARIO VIGENTE, COTIZACION E INSCRIPCION DE GUATECOMPRAS.",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,7477279,AGENCIA FARMACEUTICA INTERNACIONAL SOCIEDAD ANONIMA,11867140,31-01-2017,Enero,2017,07-02-2017,07-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,02-02-2017,Febrero,2017,NA
9695,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE ESCUINTLA,5914086,"COD. 404 Fórmula para lactante con lactosa fórmula sucedánea de la leche materna, Exclusivamente polvo, envase de 400 g - 460 g. SA-06 228/2017 EN TRAMTIE. ANEXAR REGISTRO SANITARIO VIGENTE, COTIZACIO",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,2399430,31-01-2017,Enero,2017,07-02-2017,07-02-2017,Febrero,2017,Salud e insumos hospitalarios|,Terminado adjudicado,02-02-2017,Febrero,2017,NA
10837,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL REGIONAL DE ZACAPA,5930073,ADQUISICIÓN DE INSUMOS PARA SERVICIO DE CLINICA DENTAL Y SERVICIO DE BANCO DE LECHE PARA EL HOSPITAL REGIONAL DE ZACAPA,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,5999030,LORALVA SOCIEDAD ANONIMA,3360000,01-02-2017,Febrero,2017,03-02-2017,03-02-2017,Febrero,2017,Salud e insumos hospitalarios|,Terminado adjudicado,03-02-2017,Febrero,2017,NA
10838,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL REGIONAL DE ZACAPA,5930073,ADQUISICIÓN DE INSUMOS PARA SERVICIO DE CLINICA DENTAL Y SERVICIO DE BANCO DE LECHE PARA EL HOSPITAL REGIONAL DE ZACAPA,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,8362653,IMPORTADORA Y EXPORTADORA GIL SOCIEDAD ANONIMA,7785000,01-02-2017,Febrero,2017,03-02-2017,03-02-2017,Febrero,2017,Salud e insumos hospitalarios|,Terminado adjudicado,03-02-2017,Febrero,2017,NA
11924,Sector Público,"Entidades Descentralizadas, Autónomas y de Seguridad Social",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,UNIDAD PERIFERICA ZONA 5,5943655,"P-0472, C-455, FORMULA ESPECIALIZADA PARA NIÑOS POLVO 400 G - 460 G, FORMULA SIN LACTOSA; PARA LOS PACIENTES EUNICE HERNANDEZ TUCHE AF. 176-132066 BH Y CHISTOPHER CORO JUAREZ, AF. 2012-01532552 BH",Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,320811,"COMPAÑIA FARMACEUTICA LANQUETIN, SOCIEDAD ANONIMA",1186430,07-02-2017,Febrero,2017,21-02-2017,21-02-2017,Febrero,2017,Alimentos y semillas|Otros tipos de bienes o servicios|Salud e insumos hospitalarios|,Terminado adjudicado,09-02-2017,Febrero,2017,NA
11927,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL PEDRO DE BETHANCOURT,5943671,ADQUISICION  FORMULAS INFANTILES SUCEDANEAS DE LA LECHE MATERNA,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),NA,671517,ABBOTT LABORATORIOS SOCIEDAD ANONIMA,14375000,03-02-2017,Febrero,2017,09-02-2017,09-02-2017,Febrero,2017,Alimentos y semillas|,Terminado adjudicado,07-02-2017,Febrero,2017,NA
